NOM DE LA RESSOURCE;DESCRIPTION;LIEN;IDs - FILTRES;IMAGE;AUTEUR.ICES
Purification et récupération CO2;une description;https://github.com/Konsilion/PicoJoule_Data/blob/master/Epuration/Dossier%20purification%20biogaz%20-%20r%C3%A9cup%C3%A9ration%20CO2%20-%20GRDF.pdf;filtre1 s_f2;https://static.wixstatic.com/media/9c0294_10806d3e86b04622b058669f09f2be9c~mv2.png/v1/fill/w_540,h_146,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/banni%C3%A8reinternet_edited.png;Felix Dupuy
Séparation CO2 par pression;une description;https://github.com/Konsilion/PicoJoule_Data/blob/master/Epuration/Dossier%20s%C3%A9paration%20CO2%20par%20pression.odt?raw=true;filtre1 s_f2;"";PicoJoule
